ref_id,book,chapter,verse
1026008,1,26,8
1026009,1,26,9
1026010,1,26,10
1026011,1,26,11
1026012,1,26,12
1026013,1,26,13
1026014,1,26,14
1026015,1,26,15
1026016,1,26,16
1026017,1,26,17
1026018,1,26,18
1026019,1,26,19
1026020,1,26,20
1026021,1,26,21
1026022,1,26,22
1026023,1,26,23
1026024,1,26,24
1026025,1,26,25
1026026,1,26,26
1026027,1,26,27
1026028,1,26,28
1026029,1,26,29
1026030,1,26,30
1026031,1,26,31
1026032,1,26,32
1026033,1,26,33
1026034,1,26,34
1026035,1,26,35
1027001,1,27,1
1027002,1,27,2
1027003,1,27,3
1027004,1,27,4
1027005,1,27,5
1027006,1,27,6
1027007,1,27,7
1027008,1,27,8
1027009,1,27,9
1027010,1,27,10
1027011,1,27,11
1027012,1,27,12
1027013,1,27,13
1027014,1,27,14
1027015,1,27,15
1027016,1,27,16
1027017,1,27,17
1027018,1,27,18
1027019,1,27,19
1027020,1,27,20
1027021,1,27,21
1027022,1,27,22
1027023,1,27,23
1027024,1,27,24
1027025,1,27,25
1027026,1,27,26
1027027,1,27,27
1027028,1,27,28
1027029,1,27,29
1027030,1,27,30
1027031,1,27,31
1027032,1,27,32
1027033,1,27,33
1027034,1,27,34
1027035,1,27,35
1027036,1,27,36
1027037,1,27,37
1027038,1,27,38
1027039,1,27,39
1027040,1,27,40
1027041,1,27,41
1027042,1,27,42
1027043,1,27,43
1027044,1,27,44
1027045,1,27,45
1027046,1,27,46
1028001,1,28,1
1028002,1,28,2
1028003,1,28,3
1028004,1,28,4
1028005,1,28,5
1028006,1,28,6
1028007,1,28,7
1028008,1,28,8
1028009,1,28,9
1028010,1,28,10
1028011,1,28,11
1028012,1,28,12
1028013,1,28,13
1028014,1,28,14
1028015,1,28,15
1028016,1,28,16
1028017,1,28,17
1028018,1,28,18
1028019,1,28,19
1028020,1,28,20
1028021,1,28,21
1028022,1,28,22
1029001,1,29,1
1029002,1,29,2
1029003,1,29,3
1029004,1,29,4
1029005,1,29,5
1029006,1,29,6
1029007,1,29,7
1029008,1,29,8
1029009,1,29,9
1029010,1,29,10
1029011,1,29,11
1029012,1,29,12
1029013,1,29,13
1029014,1,29,14
1029015,1,29,15
1029016,1,29,16
1029017,1,29,17
1029018,1,29,18
1029019,1,29,19
1029020,1,29,20
1029021,1,29,21
1029022,1,29,22
1029023,1,29,23
1029024,1,29,24
1029025,1,29,25
1029026,1,29,26
1029027,1,29,27
1029028,1,29,28
1029029,1,29,29
1029030,1,29,30
1029031,1,29,31
1029032,1,29,32
1029033,1,29,33
1029034,1,29,34
1029035,1,29,35
1030001,1,30,1
1030002,1,30,2
1030003,1,30,3
1030004,1,30,4
1030005,1,30,5
1030006,1,30,6
1030007,1,30,7
1030008,1,30,8
1030009,1,30,9
1030010,1,30,10
1030011,1,30,11
1030012,1,30,12
1030013,1,30,13
1030014,1,30,14
1030015,1,30,15
1030016,1,30,16
1030017,1,30,17
1030018,1,30,18
1030019,1,30,19
1030020,1,30,20
1030021,1,30,21
1030022,1,30,22
1030023,1,30,23
1030024,1,30,24
1030025,1,30,25
1030026,1,30,26
1030027,1,30,27
1030028,1,30,28
1030029,1,30,29
1030030,1,30,30
1030031,1,30,31
1030032,1,30,32
1030033,1,30,33
1030034,1,30,34
1030035,1,30,35
1030036,1,30,36
1030037,1,30,37
1030038,1,30,38
1030039,1,30,39
1030040,1,30,40
1030041,1,30,41
1030042,1,30,42
1030043,1,30,43
1031001,1,31,1
1031002,1,31,2
1031003,1,31,3
1031004,1,31,4
1031005,1,31,5
1031006,1,31,6
1031007,1,31,7
1031008,1,31,8
1031009,1,31,9
1031010,1,31,10
1031011,1,31,11
1031012,1,31,12
1031013,1,31,13
1031014,1,31,14
1031015,1,31,15
1031016,1,31,16
1031017,1,31,17
1031018,1,31,18
1031019,1,31,19
1031020,1,31,20
1031021,1,31,21
1031022,1,31,22
1031023,1,31,23
1031024,1,31,24
1031025,1,31,25
1031026,1,31,26
1031027,1,31,27
1031028,1,31,28
1031029,1,31,29
1031030,1,31,30
1031031,1,31,31
1031032,1,31,32
1031033,1,31,33
1031034,1,31,34
1031035,1,31,35
1031036,1,31,36
1031037,1,31,37
1031038,1,31,38
1031039,1,31,39
1031040,1,31,40
1031041,1,31,41
