lang_code,lang_name,lang_code_alias,lang_id
kpz,Kupsapiiny,kpz,100513
kqe,Kalagan,kqe,100514
kqp,Kimré,kqp,100515
kqr,Kimaragang,kqr,100516
kqy,Koorete,kqy,100517
krc,Karachay-Balkar,krc,100518
kri,Krio,kri,100519
krj,Kinaray-a,krj,100520
krl,Karelian,krl,100521
krr,Krung,krr,100522
krs,Gbaya,krs,100523
kru,Kurux,kru,100524
ksb,Shambala,ksb,100525
ksr,Borong,ksr,100526
kss,"Kisi, Southern",kss,100527
ktb,Kambaata,ktb,100528
ktj,"Krumen, Plapo",ktj,100529
kub,Kutep,kub,100530
kue,Kuman,kue,100531
kum,Kumyk,kum,100532
kus,Kusaal,kus,100533
kvn,"Kuna, Border",kvn,100534
kvw,Wersing,kvw,100535
kwd,Kwaio,kwd,100536
kwf,Kwara’ae,kwf,100537
kwi,Awa-Cuaiquer,kwi,100538
kxc,Konso,kxc,100539
kxf,Kawyaw,kxf,100540
kxm,"Khmer, Northern",kxm,100541
kxv,Kuvi,kxv,100542
kyb,"Kalinga, Butbut",kyb,100543
kyc,Kyaka,kyc,100544
kyf,Kouya,kyf,100545
kyg,Keyagana,kyg,100546
kyo,Klon,kyo,100547
kyq,Kenga,kyq,100548
kyu,"Kayah, Western",kyu,100549
kyz,Kayabí,kyz,100550
kzf,"Kaili, Da’a",kzf,100551
lac,Lacandon,lac,100552
laj,Lango,laj,100553
lam,Lamba,lam,100554
lao,Lao,lao,100555
las,Lama,las,100556
lat,Latin,lat,100557
lav,Latvian,lav,100558
law,Lauje,law,100559
lbj,Ladakhi,lbj,100560
lbw,Tolaki,lbw,100561
lcp,"Lawa, Western",lcp,100562
lee,Lyélé,lee,100563
lef,Lelemi,lef,100564
lem,Nomaande,lem,100565
lew,"Kaili, Ledo",lew,100566
lex,Luang,lex,100567
lgg,Lugbara,lgg,100568
lgl,Wala,lgl,100569
lhu,Lahu,lhu,100570
lia,"Limba, West-Central",lia,100571
lid,Nyindrou,lid,100572
lif,Limbu,lif,100573
lin,Lingala,lin,100574
lip,Sekpele,lip,100575
lis,Lisu,lis,100576
lit,Lithuanian,lit,100577
lje,Rampi,lje,100578
ljp,Lampung Api,ljp,100579
llg,Lole,llg,100580
lln,Lele,lln,100581
lme,Pévé,lme,100582
lnd,Lundayeh,lnd,100583
lns,Lamnso’,lns,100584
lob,Lobi,lob,100585
lok,Loko,lok,100586
lom,Loma,lom,100587
lon,"Lomwe, Malawi",lon,100588
loq,Lobala,loq,100589
lsi,Lacid,lsi,100590
lsm,Saamya-Gwe,lsm,100591
ltz,Luxembourgish,ltz,100592
luc,Aringa,luc,100593
lug,Ganda,lug,100594
luo,Dholuo,luo,100595
lwo,Luwo,lwo,100596
lww,Lewo,lww,100597
lzz,Laz,lzz,100598
maa-dialect_sanantonio,"Mazatec, San Jerónimo Tecóatl",maa-dialect_sanantonio,100599
maa-dialect_sanjeronimo,"Mazatec, San Jerónimo Tecóatl",maa-dialect_sanjeronimo,100600
mad,Madura,mad,100601
mag,Magahi,mag,100602
mah,Marshallese,mah,100603
mai,Maithili,mai,100604
maj,"Mazatec, Jalapa de Díaz",maj,100605
mak,Makasar,mak,100606
mal,Malayalam,mal,100607
mam-dialect_central,Mam,mam-dialect_central,100608
mam-dialect_northern,Mam,mam-dialect_northern,100609
mam-dialect_southern,Mam,mam-dialect_southern,100610
mam-dialect_western,Mam,mam-dialect_western,100611
maq,"Mazatec, Chiquihuitlán",maq,100612
mar,Marathi,mar,100613
maw,Mampruli,maw,100614
maz,"Mazahua, Central",maz,100615
mbb,"Manobo, Western Bukidnon",mbb,100616
mbc,Macushi,mbc,100617
mbh,Mangseng,mbh,100618
mbj,Nadëb,mbj,100619
mbt,"Manobo, Matigsalug",mbt,100620
mbu,Mbula-Bwazza,mbu,100621
mbz,"Mixtec, Amoltepec",mbz,100622
mca,Maka,mca,100623
mcb,Matsigenka,mcb,100624
mcd,Sharanahua,mcd,100625
mco,"Mixe, Coatlán",mco,100626
mcp,Makaa,mcp,100627
mcq,Ese,mcq,100628
mcu,"Mambila, Cameroon",mcu,100629
mda,Mada,mda,100630
mdf,Moksha,mdf,100631
mdv,"Mixtec, Santa Lucía Monteverde",mdv,100632
mdy,Male,mdy,100633
med,Melpa,med,100634
mee,Mengen,mee,100635
mej,Meyah,mej,100636
men,Mende,men,100637
meq,Merey,meq,100638
met,Mato,met,100639
mev,Maan,mev,100640
mfe,Morisyen,mfe,100641
mfh,Matal,mfh,100642
mfi,Wandala,mfi,100643
mfk,"Mofu, North",mfk,100644
mfq,Moba,mfq,100645
mfy,Mayo,mfy,100646
mfz,Mabaan,mfz,100647
mgd,Moru,mgd,100648
mge,Mango,mge,100649
mgh,Makhuwa-Meetto,mgh,100650
mgo,Meta’,mgo,100651
mhi,Ma’di,mhi,100652
mhr,"Mari, Meadow",mhr,100653
mhu,Digaro-Mishmi,mhu,100654
mhx,Lhao Vo,mhx,100655
mhy,Ma’anyan,mhy,100656
mib,"Mixtec, Atatlahuca",mib,100657
mie,"Mixtec, Ocotepec",mie,100658
mif,Mofu-Gudur,mif,100659
mih,"Mixtec, Chayuco",mih,100660
mil,"Mixtec, Peñoles",mil,100661
mim,"Mixtec, Alacatlatzala",mim,100662
min,Minangkabau,min,100663
mio,"Mixtec, Pinotepa Nacional",mio,100664
mip,"Mixtec, Apasco-Apoala",mip,100665
miq,Mískito,miq,100666
mit,"Mixtec, Southern Puebla",mit,100667
miy,"Mixtec, Ayutla",miy,100668
miz,"Mixtec, Coatzospan",miz,100669
mjl,Mandeali,mjl,100670
mjv,Mannan,mjv,100671
mkd,Macedonian,mkd,100672
mkl,Mokole,mkl,100673
mkn,"Malay, Kupang",mkn,100674
mlg,Malagasy,mlg,100675
mlt,Maltese,mlt,100676
mmg,"Ambrym, North",mmg,100677
mnb,Muna,mnb,100678
mnf,Mundani,mnf,100679
mnk,Mandinka,mnk,100680
mnw,Mon,mnw,100681
