language_code,language_name,script_direction,metadata
lbt,Lachi,left-to-right,"{""region"": ""Viet Nam, Asia"", ""alternate-names"": [""I To"", ""Ku Te"", ""La Chi"", ""Laji"", ""Lati"", ""Lipuljo"", ""Tai Lati"", ""Y Mia"", ""Y Poong"", ""Y To"", ""C\u00f9 Te"", ""Cu-T\u00ea"", ""Lach\u00ed"", ""Lipulio"", ""Mia"", ""Y"", ""Y P\u00ed"", ""Y P\u00f3ng"", ""Lipuliongtco (Flowery Lachi)"", ""Lipute (Bag Lachi)"", ""Liputi\u00f5 (Black Lachi)"", ""Lipuke (Red Lachi)"", ""Liputcio (Han Lachi)"", ""Lipupi (Long-Haired Lachi)""]}"
lbu,Labu,left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Hapa"", ""Labu'""]}"
lbv,Lavatbura-Lamusong,left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Lamasong"", ""Lamusong (Lamasong)""]}"
lbw,Tolaki,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Laki"", ""Lolaki"", ""Tokia"", ""Tololaki"", ""To'olaki"", ""Asera (Asera Wanua)"", ""Kioki"", ""Kolaka"", ""Konawe (Kendari)"", ""Mekongga (Bingkokak)"", ""Noie"", ""Tambuoki"", ""Wiwirano (Nohina)""]}"
lbx,Lawangan,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Luwangan"", ""Northeast Barito"", ""Karau (Beloh)"", ""Pasir"", ""Bantian (Bentian)"", ""Bakoi (Lampung)"", ""Bawu (Bawo)""]}"
lby,Lamalama,left-to-right,"{""description"": ""Lamu-Lamu"", ""region"": ""Australia, Pacific"", ""alternate-names"": [""Lamalama"", ""Lama-Lama"", ""Lamulamul"", ""Mba Rumbathama""]}"
lbz,Lardil,left-to-right,"{""region"": ""Australia, Pacific"", ""alternate-names"": [""Kunana"", ""Ladil"", ""Laierdila"", ""Lardill""]}"
lcc,Legenyem,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Laganyan""]}"
lcd,Lola,left-to-right,"{""region"": ""Indonesia, Asia""}"
lce,Loncong,left-to-right,"{""macrolanguage"": ""ms"", ""description"": ""Sekak"", ""region"": ""Indonesia, Asia"", ""alternate-names"": [""Lonchong"", ""Lontjong"", ""Orang Laut"", ""Sawang"", ""Seka"", ""Sekah""]}"
lcf,Lubu,left-to-right,"{""macrolanguage"": ""ms"", ""region"": ""Indonesia, Asia""}"
lch,Luchazi,left-to-right,"{""region"": ""Angola, Africa"", ""alternate-names"": [""Chiluchazi"", ""Lujash"", ""Lujazi"", ""Lutchaz"", ""Lutshase"", ""Luxage"", ""Ponda"", ""Cujazi"", ""Lujasi""]}"
lcl,Lisela,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Buru"", ""Li Enyorot"", ""Liet Enjorot"", ""North Buru"", ""Wayapo"", ""Lisela (Licela)"", ""Licella""]}"
lcm,Tungag,left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Dang"", ""Lavangai"", ""Toangai"", ""Tungak""]}"
lcp,Western Lawa,left-to-right,"{""region"": ""Thailand, Asia"", ""alternate-names"": [""Lava"", ""Lav\u00fca"", ""Luwa"", ""L'wa"", ""Mae Hong Son Lawa"", ""Mountain Lawa"", ""Omphai Lawa"", ""Lua"", ""La-up"", ""Northern Western Lawa"", ""Omphai""]}"
lcq,Luhu,left-to-right,"{""region"": ""Indonesia, Asia""}"
lcs,Lisabata-Nuniali,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Lisabata"", ""Noniali""]}"
lda,Kla-Dan,left-to-right,"{""region"": ""C\u00f4te d'Ivoire, Africa""}"
ldb,Dũya,left-to-right,"{""region"": ""Nigeria, Africa"", ""alternate-names"": [""Adong"", ""Idun"", ""Jaba Duya"", ""Jaba Lunga"", ""Lungu"", ""Ungu""]}"
ldd,Luri,,{}
ldg,Lenyima,left-to-right,"{""region"": ""Nigeria, Africa"", ""alternate-names"": [""Anyima"", ""Inyima""]}"
ldh,Lamja-Dengsa-Tola,left-to-right,"{""region"": ""Nigeria, Africa""}"
ldi,Laari,left-to-right,"{""macrolanguage"": ""kg"", ""region"": ""Congo, Africa"", ""alternate-names"": [""Kilari"", ""Ladi"", ""Lari"", ""Ghaangala (Hangala)"", ""Laari de Kinkala"", ""Kighaangala"", ""Laari de Biiza""]}"
ldj,Lemoro,left-to-right,"{""region"": ""Nigeria, Africa"", ""alternate-names"": [""Anemoro"", ""Anowuru"", ""Emoro"", ""Limoro"", ""Limorro""]}"
ldk,Leelau,left-to-right,"{""region"": ""Nigeria, Africa"", ""alternate-names"": [""Lelo"", ""Munga"", ""Munga Lelau""]}"
ldl,Kaan,left-to-right,"{""region"": ""Nigeria, Africa"", ""alternate-names"": [""Kan"", ""Libbo""]}"
ldm,Landoma,left-to-right,"{""region"": ""Guinea, Africa"", ""alternate-names"": [""Cocoli"", ""Landouman"", ""Landuma"", ""Tyapi"", ""Tyopi"", ""Tiapi (Tapessi)""]}"
ldn,Láadan,left-to-right,{}
ldo,Loo,left-to-right,"{""region"": ""Nigeria, Africa"", ""alternate-names"": [""Loh"", ""Shungo"", ""Shunhu""]}"
ldp,Tso,left-to-right,"{""region"": ""Nigeria, Africa"", ""alternate-names"": [""Cibbo"", ""Cuyi Ts\u00f3"", ""Kitta"", ""Lotsu-Piri"", ""Pire"", ""Piri"", ""Ts\u00f3b\u00f3""]}"
ldq,Lufu,left-to-right,"{""region"": ""Nigeria, Africa""}"
lea,Lega-Shabunda,left-to-right,"{""region"": ""The Democratic Republic of the Congo, Africa"", ""alternate-names"": [""Igonzabale"", ""Ileka-Igonzabale"", ""Kirega"", ""Leka-Igonzabale"", ""Rega"", ""Kinyamunsange (Pangi)""]}"
leb,Lala-Bisa,left-to-right,"{""region"": ""Zambia, Africa"", ""alternate-names"": [""Biza-Lala"", ""Ichibisa"", ""Wisa"", ""Wiza"", ""Kambonsenga"", ""Bisa (Biisa)"", ""Ambo (Bambo)"", ""Bisa (Ichibisa)"", ""Lala (Ichilala)""]}"
lec,Leco,left-to-right,"{""region"": ""Bolivia, Americas"", ""alternate-names"": [""Leko"", ""Rik'a""]}"
led,Lendu,left-to-right,"{""region"": ""The Democratic Republic of the Congo, Africa"", ""alternate-names"": [""Bale"", ""Balendru"", ""Batha"", ""Bbadha"", ""Bbaledha"", ""Hema-Nord"", ""Kihema-Nord"", ""Kilendu"", ""Ddralo (Ddradha)"", ""Djadha (Jidha)"", ""Njawlo (Njawdha)""]}"
lee,Lyélé,left-to-right,"{""region"": ""Burkina Faso, Africa"", ""alternate-names"": [""Lele"", ""Southern Ly\u00e9l\u00e9 (Reo)""]}"
lef,Lelemi,left-to-right,"{""region"": ""Ghana, Africa"", ""alternate-names"": [""Buem"", ""Lafana"", ""Lefana""]}"
leg,Lengua,,"{""description"": ""Deprecated from 2014-02-28. see enl, enx""}"
